epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,119.10128784179688,92.83910369873047
1,0.0010000000474974513,81.51766967773438,52.623802185058594
2,0.0010000000474974513,39.498592376708984,20.7269344329834
3,0.0010000000474974513,15.627639770507812,17.773645401000977
4,0.0010000000474974513,15.371382713317871,19.019786834716797
5,0.0010000000474974513,14.809021949768066,18.022197723388672
6,0.0010000000474974513,12.839374542236328,15.14083194732666
7,0.0010000000474974513,10.328041076660156,11.540336608886719
8,0.0010000000474974513,9.870783805847168,9.769515037536621
9,0.0010000000474974513,10.57811164855957,9.585336685180664
10,0.0010000000474974513,7.975277900695801,10.323131561279297
11,0.0010000000474974513,5.816910266876221,11.207816123962402
12,0.0010000000474974513,6.160904884338379,11.787532806396484
13,0.0010000000474974513,6.881695747375488,12.133785247802734
14,0.0010000000474974513,6.878483772277832,12.388838768005371
15,0.0005000000237487257,6.913278579711914,12.347135543823242
16,0.0005000000237487257,6.154578685760498,12.14669132232666
17,0.0005000000237487257,5.699968338012695,11.80490779876709
18,0.0005000000237487257,5.217339038848877,11.358172416687012
19,0.0005000000237487257,4.955214023590088,10.835882186889648
